ह्यूस्टन	B-building-sportsfacility
फील्ड	I-building-sportsfacility
हाउस	I-building-sportsfacility
आरपीआई	B-organization-education
परिसर	O
म	O
स्थित	O
4	O
780	O
सीट	O
वाला	O
बहुउद्देशीय	O
अखाड़ा	O
हावय	O

कोसोवो	B-event-attack/battle/war/militaryconflict
युद्ध	I-event-attack/battle/war/militaryconflict
(	O
मार्च-जून	O
1999	O
)	O
के	O
बखत	O
,	O
सर्ब	B-location-GPE
सेना	O
ह	O
कोसोवो	B-location-GPE
ले	O
800	O
000	O
-	O
1	O
000	O
000	O
अल्बानियाई	O
मनके	O
बीच	O
निष्कासित	O
कर	O
दीस	O
जेकर	O
ले	O
व्यक्तिगत	O
दस्तावेज	O
ल	O
जब्त	O
करे	O
या	O
भविष्य	O
म	O
कोनो	O
वापसी	O
ल	O
रोके	O
जइसे	O
रणनीति	O
के	O
उपयोग	O
करे	O
गिस	O

ब्रिटिश	O
शैडो	O
होम	O
सेक्रेटरी	O
,	O
एंडी	B-person-politician
बर्नहम	I-person-politician
ह	O
हिंसा	O
के	O
निंदा	O
करत	O
दावा	O
करे	O
हावय	O
के	O
अधिकांश	O
ल	O
''	O
अल्पसंख्यक	O
डहर	O
ले	O
निराश	O
करे	O
गे	O
रिहिस	O

जब	O
अमू	B-person-other
अपन	O
होवइया	O
स्व	O
के	O
रूप	O
म	O
पुनर्जन्म	O
ले	O
के	O
साहस	O
के	O
कामना	O
करत	O
हावयं	O
त	O
ओला	O
परन	O
दिन	O
बिहनिया	O
तीन	O
रंगीन	O
अंडा	O
पाके	O
अचरज	O
होथे	O
जेन	O
तीन	O
गार्जियन	O
पात्र	O
म	O
निकलथे	O
:	O
रन	B-person-other
,	O
मिकी	B-person-other
,	O
अउ	O
सु	B-person-other
।	O

एखर	O
उपयोग	O
एक	O
जनवरी	O
दू	O
हजार	O
दस	O
के	O
पहिली	O
बने	O
उपकरण	O
म	O
घलो	O
करे	O
जा	O
सकत	O
हे	O

1975	O
के	O
कम्युनिस्ट	O
क्रांति	O
के	O
बाद	O
लाओस	B-location-GPE
म	O
राजनीतिक	O
माहौल	O
के	O
बारे	O
म	O
चिंतित	O
सुलीलत	O
थाईलैंड	O
भाग	O
के	O
मेकांग	O
पार	O
करिन	O

युद्ध	O
के	O
बाद	O
वो	O
कम्युनिस्ट	B-art-writtenart
दैनिक	I-art-writtenart
समाचार	I-art-writtenart
पत्र	I-art-writtenart
''	O
दे	B-art-writtenart
वारहेद	I-art-writtenart
''	O
के	O
संपादक	O
अउ	O
सीपीएन	B-organization-politicalparty
के	O
अधिकारी	O
बन	O
गे	O

''	O
क्रोकोडाइलस	B-other-livingthing
थोरबजरनरनी	I-other-livingthing
''	O
के	O
नामकरण	O
क्रिस्टोफर	B-person-other
ब्रोचू	I-person-other
अउ	O
ग्लेन	B-person-other
स्टोर्स	I-person-other
डहर	O
ले	O
लुप्तप्राय	O
क्रोकोडिलियन	O
के	O
रक्षा	O
के	O
खातिर	O
काम	O
करइया	O
संरक्षणवादी	O
जॉन	B-person-other
थोरबजरनरसन	I-person-other
के	O
सम्मान	O
म	O
करे	O
गे	O
रिहिस	O

लॉर्ड	B-product-ship
नेल्सन	I-product-ship
विक्ट्री	I-product-ship
टग	I-product-ship
मनोरंजक	O
ट्रॉलर	O
के	O
एक	O
ब्रांड	O
हावय	O
जेला	O
जेम्स	B-person-other
बैकस	I-person-other
डहर	O
ले	O
डिजाइन	O
करे	O
गे	O
हावय	O
अउ	O
लॉर्ड	B-organization-company
नेल्सन	I-organization-company
यॉट्स,	I-organization-company
इंक	I-organization-company
.	I-organization-company
डहर	O
ले	O
निर्मित	O
सिएटल	B-location-GPE
,	O
वाशिंगटन	B-location-GPE
म	O
संयुक्त	B-location-GPE
राज्य	I-location-GPE
अमेरिका	I-location-GPE
म	O
स्थित	O
हावय	O

एमा	O
ऊपरी	O
अउ	O
निचला	O
दूनों	O
पंख	O
म	O
ट्रेलिंग	O
एज	O
फ्लैप	O
लगाय	O
गे	O
रिहीस	O

उंकर	O
परिवार	O
म	O
उंकर	O
माता-पिता	O
उंकर	O
पति	O
जॉन	B-person-actor
नोरम	I-person-actor
अउ	O
उंकर	O
बेटा	O
,	O
जेक	B-person-actor
थॉमस	I-person-actor
हावय	O

येकर	O
मार्ग	O
ला	B-location-GPE
लीमा	I-location-GPE
शहर	O
ले	O
होवत	O
हावय	O
फेर	O
पुएंते	B-building-other
ला	I-building-other
डेमोक्रेसिया	I-building-other
(	O
डेमोक्रेसी	B-building-other
ब्रिज	I-building-other
	O
डहर	O
ले	O
उलुआ	B-location-bodiesofwater
नदी	I-location-bodiesofwater
ल	O
पार	O
करके	O
एल	B-location-GPE
प्रोग्रेसो	I-location-GPE
म	O
फिनिशिंग	O
करत	O
हावय	O

''	O
द	B-art-film
ब्लैंचेविले	I-art-film
